konto	konto_namn_officiell	konto_namn_ascii	niva	huvudgrupp_kod	huvudgrupp_namn_ascii	huvudkonto_kod	huvudkonto_namn_ascii	k2_blocked	auto_select_policy	sokord	stodfraser	tvetydiga_intentioner
1038	Ackumulerade nedskrivningar på patent	ackumulerade nedskrivningar pa patent	sub	10	immateriella anlaggningstillgangar	1030	patent	false	exact_name_allowed	1038 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar på patent | ackumulerade nedskrivningar patent | anläggningstillgangar | balans | bas 1038 | immateriella | immateriella anläggningstillgangar | konto 1038 | nedskrivning | nedskrivningar | nedskrivningar patent | patent | tillgangskonto	ackumulerad nedskrivning patent | ackumulerade nedskrivningar på patent | ackumulerade nedskrivningar patent | balans ackumulerade nedskrivningar på patent | bas konto 1038 ackumulerade nedskrivningar på patent | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på patent | konto 1038 ackumulerade nedskrivningar på patent | patent | patent ackumulerade nedskrivningar på patent | samlad nedskrivning patent | tillgangskonto ackumulerade nedskrivningar på patent	
1039	Ackumulerade avskrivningar på patent	ackumulerade avskrivningar pa patent	sub	10	immateriella anlaggningstillgangar	1030	patent	false	exact_name_allowed	1039 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar på patent | ackumulerade avskrivningar patent | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar patent | balans | bas 1039 | immateriella | immateriella anläggningstillgangar | konto 1039 | patent | tillgangskonto	ackumulerad avskrivning patent | ackumulerade avskrivningar på patent | ackumulerade avskrivningar patent | balans ackumulerade avskrivningar på patent | bas konto 1039 ackumulerade avskrivningar på patent | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på patent | konto 1039 ackumulerade avskrivningar på patent | patent | patent ackumulerade avskrivningar på patent | samlad avskrivning patent | tillgangskonto ackumulerade avskrivningar på patent	
1040	Licenser	licenser	main	10	immateriella anlaggningstillgangar	1040	licenser	false	exact_name_allowed	1040 | anläggningstillgangar | balans | bas 1040 | immateriella | immateriella anläggningstillgangar | konto 1040 | licens | licenser | tillgangskonto	balans licenser | bas konto 1040 | bas konto 1040 licenser | bokför licenser | bokför på konto 1040 | immateriella anläggningstillgangar | immateriella anläggningstillgangar licenser | konto 1040 licenser | konto för licenser | konto inom immateriella anläggningstillgangar | kostnad eller post licenser | licenser | sök konto 1040 | tillgangskonto licenser | underkonto till licenser	
1048	Ackumulerade nedskrivningar på licenser	ackumulerade nedskrivningar pa licenser	sub	10	immateriella anlaggningstillgangar	1040	licenser	false	exact_name_allowed	1048 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar licenser | ackumulerade nedskrivningar på licenser | anläggningstillgangar | balans | bas 1048 | immateriella | immateriella anläggningstillgangar | konto 1048 | licens | licenser | nedskrivning | nedskrivningar | nedskrivningar licenser | tillgangskonto	ackumulerad nedskrivning licenser | ackumulerade nedskrivningar licenser | ackumulerade nedskrivningar på licenser | balans ackumulerade nedskrivningar på licenser | bas konto 1048 ackumulerade nedskrivningar på licenser | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på licenser | konto 1048 ackumulerade nedskrivningar på licenser | licenser | licenser ackumulerade nedskrivningar på licenser | samlad nedskrivning licenser | tillgangskonto ackumulerade nedskrivningar på licenser	
1049	Ackumulerade avskrivningar på licenser	ackumulerade avskrivningar pa licenser	sub	10	immateriella anlaggningstillgangar	1040	licenser	false	exact_name_allowed	1049 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar licenser | ackumulerade avskrivningar på licenser | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar licenser | balans | bas 1049 | immateriella | immateriella anläggningstillgangar | konto 1049 | licens | licenser | tillgangskonto	ackumulerad avskrivning licenser | ackumulerade avskrivningar licenser | ackumulerade avskrivningar på licenser | balans ackumulerade avskrivningar på licenser | bas konto 1049 ackumulerade avskrivningar på licenser | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på licenser | konto 1049 ackumulerade avskrivningar på licenser | licenser | licenser ackumulerade avskrivningar på licenser | samlad avskrivning licenser | tillgangskonto ackumulerade avskrivningar på licenser	
1050	Varumärken	varumarken	main	10	immateriella anlaggningstillgangar	1050	varumarken	false	exact_name_allowed	1050 | anläggningstillgangar | balans | bas 1050 | immateriella | immateriella anläggningstillgangar | konto 1050 | tillgangskonto | varumarken	balans varumarken | bas konto 1050 | bas konto 1050 varumarken | bokför på konto 1050 | bokför varumarken | immateriella anläggningstillgangar | immateriella anläggningstillgangar varumarken | konto 1050 varumarken | konto för varumarken | konto inom immateriella anläggningstillgangar | kostnad eller post varumarken | sök konto 1050 | tillgangskonto varumarken | underkonto till varumarken | varumarken	
1058	Ackumulerade nedskrivningar på varumärken	ackumulerade nedskrivningar pa varumarken	sub	10	immateriella anlaggningstillgangar	1050	varumarken	false	exact_name_allowed	1058 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar på varumarken | ackumulerade nedskrivningar varumarken | anläggningstillgangar | balans | bas 1058 | immateriella | immateriella anläggningstillgangar | konto 1058 | nedskrivning | nedskrivningar | nedskrivningar varumarken | tillgangskonto | varumarken	ackumulerad nedskrivning varumarken | ackumulerade nedskrivningar på varumarken | ackumulerade nedskrivningar varumarken | balans ackumulerade nedskrivningar på varumarken | bas konto 1058 ackumulerade nedskrivningar på varumarken | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på varumarken | konto 1058 ackumulerade nedskrivningar på varumarken | samlad nedskrivning varumarken | tillgangskonto ackumulerade nedskrivningar på varumarken | varumarken | varumarken ackumulerade nedskrivningar på varumarken	
1059	Ackumulerade avskrivningar på varumärken	ackumulerade avskrivningar pa varumarken	sub	10	immateriella anlaggningstillgangar	1050	varumarken	false	exact_name_allowed	1059 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar på varumarken | ackumulerade avskrivningar varumarken | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar varumarken | balans | bas 1059 | immateriella | immateriella anläggningstillgangar | konto 1059 | tillgangskonto | varumarken	ackumulerad avskrivning varumarken | ackumulerade avskrivningar på varumarken | ackumulerade avskrivningar varumarken | balans ackumulerade avskrivningar på varumarken | bas konto 1059 ackumulerade avskrivningar på varumarken | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på varumarken | konto 1059 ackumulerade avskrivningar på varumarken | samlad avskrivning varumarken | tillgangskonto ackumulerade avskrivningar på varumarken | varumarken | varumarken ackumulerade avskrivningar på varumarken	
1060	Hyresrätter och liknande	hyresratter och liknande	main	10	immateriella anlaggningstillgangar	1060	hyresratter och liknande	false	exact_name_allowed	1060 | anläggningstillgangar | balans | bas 1060 | hyresratt | hyresratter | hyresratter liknande | hyresratter och liknande | immateriella | immateriella anläggningstillgangar | konto 1060 | liknande | tillgangskonto	balans hyresratter och liknande | bas konto 1060 hyresratter och liknande | hyresratter liknande | hyresratter och liknande | immateriella anläggningstillgangar | immateriella anläggningstillgangar hyresratter och liknande | konto 1060 hyresratter och liknande | tillgangskonto hyresratter och liknande	
1068	Ackumulerade nedskrivningar på hyresrätter och liknande	ackumulerade nedskrivningar pa hyresratter och liknande	sub	10	immateriella anlaggningstillgangar	1060	hyresratter och liknande	false	exact_name_allowed	1068 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar hyresratter | ackumulerade nedskrivningar hyresratter liknande | ackumulerade nedskrivningar på hyresratter och liknande | anläggningstillgangar | balans | bas 1068 | hyresratt | hyresratter | hyresratter liknande | immateriella | immateriella anläggningstillgangar | konto 1068 | liknande | nedskrivning | nedskrivningar | nedskrivningar hyresratter | nedskrivningar hyresratter liknande | tillgangskonto	ackumulerad nedskrivning hyresratter och liknande | ackumulerade nedskrivningar hyresratter liknande | ackumulerade nedskrivningar på hyresratter och liknande | balans ackumulerade nedskrivningar på hyresratter och liknande | bas konto 1068 ackumulerade nedskrivningar på hyresratter och liknande | hyresratter och liknande | hyresratter och liknande ackumulerade nedskrivningar på hyresratter och liknande | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på hyresratter och liknande | konto 1068 ackumulerade nedskrivningar på hyresratter och liknande | samlad nedskrivning hyresratter och liknande | tillgangskonto ackumulerade nedskrivningar på hyresratter och liknande	
1069	Ackumulerade avskrivningar på hyresrätter och liknande	ackumulerade avskrivningar pa hyresratter och liknande	sub	10	immateriella anlaggningstillgangar	1060	hyresratter och liknande	false	exact_name_allowed	1069 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar hyresratter | ackumulerade avskrivningar hyresratter liknande | ackumulerade avskrivningar på hyresratter och liknande | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar hyresratter | avskrivningar hyresratter liknande | balans | bas 1069 | hyresratt | hyresratter | hyresratter liknande | immateriella | immateriella anläggningstillgangar | konto 1069 | liknande | tillgangskonto	ackumulerad avskrivning hyresratter och liknande | ackumulerade avskrivningar hyresratter liknande | ackumulerade avskrivningar på hyresratter och liknande | balans ackumulerade avskrivningar på hyresratter och liknande | bas konto 1069 ackumulerade avskrivningar på hyresratter och liknande | hyresratter och liknande | hyresratter och liknande ackumulerade avskrivningar på hyresratter och liknande | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på hyresratter och liknande | konto 1069 ackumulerade avskrivningar på hyresratter och liknande | samlad avskrivning hyresratter och liknande | tillgangskonto ackumulerade avskrivningar på hyresratter och liknande	
1070	Goodwill	goodwill	main	10	immateriella anlaggningstillgangar	1070	goodwill	false	exact_name_allowed	1070 | anläggningstillgangar | balans | bas 1070 | goodwill | immateriella | immateriella anläggningstillgangar | konto 1070 | tillgangskonto	balans goodwill | bas konto 1070 | bas konto 1070 goodwill | bokför goodwill | bokför på konto 1070 | goodwill | immateriella anläggningstillgangar | immateriella anläggningstillgangar goodwill | konto 1070 goodwill | konto för goodwill | konto inom immateriella anläggningstillgangar | kostnad eller post goodwill | sök konto 1070 | tillgangskonto goodwill | underkonto till goodwill	
1078	Ackumulerade nedskrivningar på goodwill	ackumulerade nedskrivningar pa goodwill	sub	10	immateriella anlaggningstillgangar	1070	goodwill	false	exact_name_allowed	1078 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar goodwill | ackumulerade nedskrivningar på goodwill | anläggningstillgangar | balans | bas 1078 | goodwill | immateriella | immateriella anläggningstillgangar | konto 1078 | nedskrivning | nedskrivningar | nedskrivningar goodwill | tillgangskonto	ackumulerad nedskrivning goodwill | ackumulerade nedskrivningar goodwill | ackumulerade nedskrivningar på goodwill | balans ackumulerade nedskrivningar på goodwill | bas konto 1078 ackumulerade nedskrivningar på goodwill | goodwill | goodwill ackumulerade nedskrivningar på goodwill | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på goodwill | konto 1078 ackumulerade nedskrivningar på goodwill | samlad nedskrivning goodwill | tillgangskonto ackumulerade nedskrivningar på goodwill	
1079	Ackumulerade avskrivningar på goodwill	ackumulerade avskrivningar pa goodwill	sub	10	immateriella anlaggningstillgangar	1070	goodwill	false	exact_name_allowed	1079 | ackumulerad avskrivning | ackumulerade | ackumulerade avskrivningar | ackumulerade avskrivningar goodwill | ackumulerade avskrivningar på goodwill | anläggningstillgangar | avskrivning | avskrivningar | avskrivningar goodwill | balans | bas 1079 | goodwill | immateriella | immateriella anläggningstillgangar | konto 1079 | tillgangskonto	ackumulerad avskrivning goodwill | ackumulerade avskrivningar goodwill | ackumulerade avskrivningar på goodwill | balans ackumulerade avskrivningar på goodwill | bas konto 1079 ackumulerade avskrivningar på goodwill | goodwill | goodwill ackumulerade avskrivningar på goodwill | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade avskrivningar på goodwill | konto 1079 ackumulerade avskrivningar på goodwill | samlad avskrivning goodwill | tillgangskonto ackumulerade avskrivningar på goodwill	
1080	Pågående projekt och förskott  för immateriella anläggningstillgångar	pagaende projekt och forskott for immateriella anlaggningstillgangar	main	10	immateriella anlaggningstillgangar	1080	pagaende projekt och forskott for immateriella anlaggningstillgangar	false	exact_name_allowed	1080 | anläggningstillgang | anläggningstillgangar | balans | bas 1080 | förhandsbetalning | förskott | förskott immateriella | förskott immateriella anläggningstillgangar | immateriella | immateriella anläggningstillgangar | konto 1080 | pågående | pågående projekt | pågående projekt förskott | pågående projekt förskott immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar | projekt | projekt förskott | projekt förskott immateriella | tillgangskonto	balans pågående projekt och förskott för immateriella anläggningstillgangar | bas konto 1080 pågående projekt och förskott för immateriella anläggningstillgangar | förhandsbetalning pågående projekt och förskott för immateriella anläggningstillgangar | immateriella anläggningstillgangar | immateriella anläggningstillgangar pågående projekt och förskott för immateriella anläggningstillgangar | konto 1080 pågående projekt och förskott för immateriella anläggningstillgangar | pågående projekt förskott immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar | tillgangskonto pågående projekt och förskott för immateriella anläggningstillgangar	
1081	Pågående projekt för immateriella anläggningstillgångar	pagaende projekt for immateriella anlaggningstillgangar	sub	10	immateriella anlaggningstillgangar	1080	pagaende projekt och forskott for immateriella anlaggningstillgangar	false	exact_name_allowed	1081 | anläggningstillgang | anläggningstillgangar | balans | bas 1081 | förskott | förskott immateriella | immateriella | immateriella anläggningstillgangar | konto 1081 | pågående | pågående projekt | pågående projekt för immateriella anläggningstillgangar | pågående projekt immateriella | pågående projekt immateriella anläggningstillgangar | projekt | projekt förskott | projekt immateriella | projekt immateriella anläggningstillgangar | tillgangskonto	balans pågående projekt för immateriella anläggningstillgangar | bas konto 1081 pågående projekt för immateriella anläggningstillgangar | immateriella anläggningstillgangar | immateriella anläggningstillgangar pågående projekt för immateriella anläggningstillgangar | konto 1081 pågående projekt för immateriella anläggningstillgangar | pågående projekt för immateriella anläggningstillgangar | pågående projekt immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar pågående projekt för immateriella anläggningstillgangar | tillgangskonto pågående projekt för immateriella anläggningstillgangar	
1088	Förskott för immateriella anläggningstillgångar	forskott for immateriella anlaggningstillgangar	sub	10	immateriella anlaggningstillgangar	1080	pagaende projekt och forskott for immateriella anlaggningstillgangar	false	exact_name_allowed	1088 | anläggningstillgang | anläggningstillgangar | balans | bas 1088 | förhandsbetalning | förskott | förskott för immateriella anläggningstillgangar | förskott immateriella | förskott immateriella anläggningstillgangar | immateriella | immateriella anläggningstillgangar | konto 1088 | pågående | pågående projekt | projekt | projekt förskott | tillgangskonto	balans förskott för immateriella anläggningstillgangar | bas konto 1088 förskott för immateriella anläggningstillgangar | förhandsbetalning förskott för immateriella anläggningstillgangar | förskott för immateriella anläggningstillgangar | förskott immateriella anläggningstillgangar | immateriella anläggningstillgangar | immateriella anläggningstillgangar förskott för immateriella anläggningstillgangar | konto 1088 förskott för immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar | pågående projekt och förskott för immateriella anläggningstillgangar förskott för immateriella anläggningstillgangar | tillgangskonto förskott för immateriella anläggningstillgangar	
1090	Övriga immateriella  anläggningstillgångar	ovriga immateriella anlaggningstillgangar	main	10	immateriella anlaggningstillgangar	1090	ovriga immateriella anlaggningstillgangar	false	exact_name_allowed	1090 | anläggningstillgang | anläggningstillgangar | balans | bas 1090 | immateriella | immateriella anläggningstillgangar | konto 1090 | övriga immateriella anläggningstillgangar | tillgangskonto	balans övriga immateriella anläggningstillgangar | bas konto 1090 | bas konto 1090 övriga immateriella anläggningstillgangar | bokför immateriella anläggningstillgangar | bokför på konto 1090 | immateriella anläggningstillgangar | immateriella anläggningstillgangar övriga immateriella anläggningstillgangar | konto 1090 övriga immateriella anläggningstillgangar | konto för immateriella anläggningstillgangar | konto inom immateriella anläggningstillgangar | kostnad eller post immateriella anläggningstillgangar | övriga immateriella anläggningstillgangar | sök konto 1090 | tillgangskonto övriga immateriella anläggningstillgangar | underkonto till immateriella anläggningstillgangar	
1092	Tomträtter	tomtratter	sub	10	immateriella anlaggningstillgangar	1090	ovriga immateriella anlaggningstillgangar	false	exact_name_allowed	1092 | anläggningstillgangar | balans | bas 1092 | immateriella | immateriella anläggningstillgangar | konto 1092 | tillgangskonto | tomtratt | tomtratter	balans tomtratter | bas konto 1092 tomtratter | immateriella anläggningstillgangar | immateriella anläggningstillgangar tomtratter | konto 1092 tomtratter | övriga immateriella anläggningstillgangar | övriga immateriella anläggningstillgangar tomtratter | tillgangskonto tomtratter | tomtratter	
1098	Ackumulerade nedskrivningar på övriga immateriella anläggningstillgångar	ackumulerade nedskrivningar pa ovriga immateriella anlaggningstillgangar	sub	10	immateriella anlaggningstillgangar	1090	ovriga immateriella anlaggningstillgangar	false	exact_name_allowed	1098 | ackumulerad nedskrivning | ackumulerade | ackumulerade nedskrivningar | ackumulerade nedskrivningar immateriella | ackumulerade nedskrivningar immateriella anläggningstillgangar | ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | anläggningstillgang | anläggningstillgangar | balans | bas 1098 | immateriella | immateriella anläggningstillgangar | konto 1098 | nedskrivning | nedskrivningar | nedskrivningar immateriella | nedskrivningar immateriella anläggningstillgangar | tillgangskonto	ackumulerad nedskrivning övriga immateriella anläggningstillgangar | ackumulerade nedskrivningar immateriella anläggningstillgangar | ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | balans ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | bas konto 1098 ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | immateriella anläggningstillgangar | immateriella anläggningstillgangar ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | konto 1098 ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | övriga immateriella anläggningstillgangar | övriga immateriella anläggningstillgangar ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar | samlad nedskrivning övriga immateriella anläggningstillgangar | tillgangskonto ackumulerade nedskrivningar på övriga immateriella anläggningstillgangar	
